average error,precision,recal,i,j,epoch
0.037302275,0.573951435,0.915492958,15,75,90
0.037367265,0.572008114,0.992957746,15,80,10
0.036304673,0.518867925,0.193661972,15,80,20
0.035436901,0.576519916,0.968309859,15,80,30
0.03402957,0.564377682,0.926056338,15,80,40
0.033470597,0.573934837,0.806338028,15,80,50
0.035945879,0.5,0.038732394,15,80,60
0.039098506,0.568273092,0.996478873,15,80,70
0.033804628,0.583979328,0.795774648,15,80,80
0.032392857,0.569651741,0.806338028,15,80,90
0.038299893,0.570539419,0.968309859,15,85,10
0.034298197,0.51980198,0.36971831,15,85,20
0.03448389,0.571734475,0.940140845,15,85,30
0.033210576,0.575,0.971830986,15,85,40
0.032182859,0.576642336,0.834507042,15,85,50
0.03510519,0.570539419,0.968309859,15,85,60
0.033901417,0.574162679,0.422535211,15,85,70
0.036021378,0.575431034,0.940140845,15,85,80
0.035213241,0.576842105,0.964788732,15,85,90
0.033267333,0.567622951,0.975352113,15,90,10
0.04333469,0.570850202,0.992957746,15,90,20
0.03625357,0.572008114,0.992957746,15,90,30
0.035337601,0.569672131,0.978873239,15,90,40
0.038334548,0.570539419,0.968309859,15,90,50
0.036663645,0.573770492,0.985915493,15,90,60
0.036223177,0.606060606,0.070422535,15,90,70
0.040373015,0.547008547,0.225352113,15,90,80
0.037559324,0.545454545,0.042253521,15,90,90
0.044073618,0.666666667,0.007042254,15,95,10
0.033591298,0.561253561,0.693661972,15,95,20
0.036211007,0.571129707,0.961267606,15,95,30
0.03616187,0.448598131,0.169014085,15,95,40
0.03413989,0.573221757,0.964788732,15,95,50
0.036525834,0.588235294,0.035211268,15,95,60
0.036898023,0.550420168,0.461267606,15,95,70
0.037597463,0.56969697,0.992957746,15,95,80
0.035001927,0.572016461,0.978873239,15,95,90
0.033622314,0.572429907,0.862676056,20,5,10
0.034252451,0.558823529,0.735915493,20,5,20
0.036148866,0.56440281,0.848591549,20,5,30
0.034701993,0.571428571,0.802816901,20,5,40
0.033688143,0.57038835,0.827464789,20,5,50
0.032507457,0.532679739,0.573943662,20,5,60
0.035434504,0.576131687,0.985915493,20,5,70
0.032685939,0.575829384,0.855633803,20,5,80
0.032817465,0.51627907,0.39084507,20,5,90
0.032295098,0.567774936,0.781690141,20,10,10
0.034244647,0.538922156,0.316901408,20,10,20
0.034079829,0.547244094,0.48943662,20,10,30
0.033884247,0.5,0.285211268,20,10,40
0.03431993,0.580573951,0.926056338,20,10,50
0.031894226,0.579925651,0.549295775,20,10,60
0.032788071,0.542600897,0.426056338,20,10,70
0.033676989,0.573333333,0.908450704,20,10,80
0.032859897,0.555232558,0.672535211,20,10,90
0.038659207,0.611111111,0.038732394,20,15,10
0.034716441,0.456692913,0.204225352,20,15,20
0.033645631,0.575,0.242957746,20,15,30
0.038696748,0.572895277,0.982394366,20,15,40
0.034889799,0.441176471,0.105633803,20,15,50
0.034902162,0.533333333,0.281690141,20,15,60
0.034982729,0.493975904,0.144366197,20,15,70
0.033860882,0.538461538,0.147887324,20,15,80
0.034265941,0.570564516,0.996478873,20,15,90
0.03374219,0.516556291,0.274647887,20,20,10
0.035451282,0.580275229,0.89084507,20,20,20
0.033962328,0.570526316,0.954225352,20,20,30
0.032995773,0.536170213,0.443661972,20,20,40
0.035731898,0.458333333,0.038732394,20,20,50
0.033026375,0.551282051,0.454225352,20,20,60
0.034053912,0.569264069,0.926056338,20,20,70
0.033513276,0.547486034,0.345070423,20,20,80
0.032745977,0.56402439,0.651408451,20,20,90
0.036235821,0.425925926,0.080985915,20,25,10
0.032143384,0.574561404,0.922535211,20,25,20
0.032645986,0.577830189,0.862676056,20,25,30
0.034635955,0.570833333,0.964788732,20,25,40
0.036472464,0.518072289,0.151408451,20,25,50
0.034648535,0.554216867,0.485915493,20,25,60
0.035075592,0.46031746,0.102112676,20,25,70
0.037768727,0.572301426,0.98943662,20,25,80
0.038072782,0.428571429,0.021126761,20,25,90
0.036577023,0.554455446,0.197183099,20,30,10
0.032524122,0.577348066,0.735915493,20,30,20
0.035129819,0.573770492,0.985915493,20,30,30
0.032454058,0.576112412,0.866197183,20,30,40
0.03211176,0.558139535,0.591549296,20,30,50
0.035367563,0.576923077,0.897887324,20,30,60
0.032422533,0.549090909,0.531690141,20,30,70
0.032943253,0.560493827,0.799295775,20,30,80
0.033249202,0.575539568,0.281690141,20,30,90
0.032836481,0.545762712,0.566901408,20,35,10
0.037840526,0.572301426,0.98943662,20,35,20
0.03275814,0.551020408,0.285211268,20,35,30
0.035153765,0.571134021,0.975352113,20,35,40
0.038639908,0.454545455,0.035211268,20,35,50
0.036746097,0.489361702,0.080985915,20,35,60
0.033583732,0.574152542,0.954225352,20,35,70
0.034949677,0.428571429,0.073943662,20,35,80
0.034016987,0.574338086,0.992957746,20,35,90
0.032221777,0.562982005,0.771126761,20,40,10
0.037329072,0.5,0.10915493,20,40,20
0.03341836,0.56937799,0.838028169,20,40,30
